Olivia	Ollie, Nollie, Livia
Parmelia	Amelia, Melia, Milly
Patience	Pat, Patty
Patricia	Pat, Patty, Patsy, Tricia
Paula	Polly, Lina
Paulina	Polly, Lina
Penelope	Penny
Philinda	Linda
Priscilla	Cissy, Cilla, Prissy
Prudence	Prudy, Prue
Rachel	Shelly
Rebecca	Reba, Becca, Becky, Beck
Regina	Reggie, Gina
Relief	Leafa
Roberta	Bobbie, Robbie, Bert, Bertie or Birdie
Rosabel	Belle, Rosa, Rose, Roz
Rosabella	Belle, Rosa, Rose, Roz
Rosalyn	Rosa, Rose, Linda, Roz
Rosalinda	Rosa, Rose, Linda, Roz
Roseann	Rose, Ann, Roz, Rosie
Roseanna	Rose, Ann, Roz, Rosie
Roxanne	Ann, Rose, Roxie
Roxanna	Ann, Rose, Roxie
Sabrina	Brina
Sandra	Sandy, see Cassandra, Alexandra
Sarah	Sally, Sadie
Selina 	Lena
Celina 	Lena
Serena	Rena
Shirley	Lee, Sherry, Shirl
Sonia	Sonie
Submit	Mitty
Susan	Sue, Sukey, Susie, Hannah
Susannah	Sue, Sukey, Susie, Hannah
Tabitha	Tabby
Theresa	Terry, Tess, Tessie, Tessa, Thirza, Thursa, Tracy
Tryphena	Phena
Valerie	Val
Vanessa	Nessa, Essa, Vanna
Veronica	Franky, Frony, Ron, Ronnie, Ronna, Vonnie
Victoria	Vicky
Virginia	Ginger, Ginny, Jane, Jennie, Virgy
Wilhelmina	Mina, Willie, Wilma, Minnie
Winifred	Winnie
